,,,,,,Nutrient Status-Sample Wise,,,,,,,,,,
,,,,,,,,,,,,,,,,
"State: Maharashtra
District: Latur
",,,,,,,,,,,,,,,,
Sr.No.,Sample No.,pH,EC,,OC,,N,P,K,S,Zn,Fe,,Cu,Mn,B
1,Block/Mandal: Ahemadpur,,,,,,,,,,,,,,,
,Village: AHAMADPUR,,,,,,,,,,,,,,,
1,MH6092432/2016-17/33260557,7.10000 MAl ,0.57000 N   ,,0.41000 L ,,286.00000 M ,5.26000 L ,253.00000 M ,4.11000 D,0.38000 D,3.28000 D,,2.55000 S,16.90000 S,
2,MH6092432/2016-17/33261652,7.20000 MAl ,0.70000 N   ,,0.27000 L ,,191.00000 L ,8.55000 L ,665.00000 H ,3.99000 D,0.27000 D,3.30000 D,,2.38000 S,16.34000 S,
3,MH6092432/2016-17/33263747,7.18000 MAl ,0.72000 N   ,,0.41000 L ,,286.00000 M ,4.38000 VL,264.00000 M ,2.77000 D,0.25000 D,3.37000 D,,2.11000 S,16.58000 S,
4,MH6092432/2016-17/33265145,8.02000 MAl ,0.49000 N   ,,0.82000 H ,,572.00000 H ,8.11000 L ,348.00000 H ,2.66000 D,0.46000 D,2.44000 D,,2.70000 S,16.35000 S,
5,MH6092432/2016-17/33266170,8.00000 MAl ,0.50000 N   ,,0.55000 M ,,382.00000 M ,4.82000 VL,317.00000 M ,3.74000 D,0.15000 D,3.58000 D,,2.46000 S,16.75000 S,
6,MH6092432/2016-17/33268256,8.19000 MAl ,0.56000 N   ,,0.68000 M ,,477.00000 M ,3.94000 VL,465.00000 H ,2.67000 D,0.25000 D,3.37000 D,,2.48000 S,16.81000 S,
7,MH6092432/2016-17/33269648,8.04000 MAl ,0.80000 N   ,,0.41000 L ,,286.00000 M ,2.41000 VL,370.00000 H ,4.11000 D,0.23000 D,3.67000 D,,2.63000 S,17.77000 S,
8,MH6092432/2016-17/33270962,8.00000 MAl ,0.79000 N   ,,0.68000 M ,,477.00000 M ,2.85000 VL,327.00000 M ,3.98000 D,0.47000 D,2.41000 D,,2.23000 S,16.36000 S,
9,MH6092432/2016-17/33271993,8.01000 MAl ,0.80000 N   ,,0.41000 L ,,286.00000 M ,4.16000 VL,317.00000 M ,4.11000 D,0.34000 D,3.93000 D,,2.85000 S,16.46000 S,
10,MH6092432/2016-17/33273110,8.00000 MAl ,0.77000 N   ,,0.48000 L ,,334.00000 M ,5.26000 L ,348.00000 H ,2.77000 D,0.26000 D,3.35000 D,,2.21000 S,17.90000 S,
11,MH6092432/2016-17/33274102,8.02000 MAl ,0.70000 N   ,,0.82000 H ,,572.00000 H ,6.36000 L ,412.00000 H ,1.08000 D,0.25000 D,2.45000 D,,2.90000 S,17.57000 S,
12,MH6092432/2016-17/33274946,8.02000 MAl ,0.69000 N   ,,0.27000 L ,,191.00000 L ,5.48000 L ,465.00000 H ,5.07000 D,0.31000 D,2.55000 D,,2.25000 S,16.97000 S,
13,MH6092432/2016-17/33275778,8.00000 MAl ,0.67000 N   ,,0.68000 M ,,477.00000 M ,7.23000 L ,475.00000 H ,5.04000 D,0.18000 D,3.58000 D,,2.47000 S,16.70000 S,
14,MH6092432/2016-17/33277172,7.90000 MAl ,0.68000 N   ,,0.41000 L ,,286.00000 M ,7.67000 L ,422.00000 H ,5.07000 D,0.26000 D,2.38000 D,,2.81000 S,17.15000 S,
15,MH6092432/2016-17/33277664,7.88000 MAl ,0.59000 N   ,,0.27000 L ,,191.00000 L ,4.16000 VL,306.00000 M ,4.94000 D,0.34000 D,4.01000 D,,2.87000 S,16.45000 S,
16,MH6092432/2016-17/33278458,7.90000 MAl ,0.77000 N   ,,0.34000 L ,,238.00000 L ,3.72000 VL,317.00000 M ,1.46000 D,0.23000 D,3.40000 D,,2.36000 S,16.69000 S,
17,MH6092432/2016-17/33278900,8.00000 MAl ,0.51000 N   ,,0.41000 L ,,286.00000 M ,1.97000 VL,327.00000 M ,1.35000 D,0.15000 D,3.48000 D,,2.58000 S,16.60000 S,
18,MH6092432/2016-17/33279391,7.99000 MAl ,0.53000 N   ,,0.55000 M ,,382.00000 M ,2.19000 VL,422.00000 H ,1.08000 D,0.26000 D,4.90000 S,,2.50000 S,17.10000 S,
19,MH6092432/2016-17/33281756,8.10000 MAl ,0.21000 N   ,,0.47000 L ,,331.00000 M ,0.87000 VL,264.00000 M ,1.41000 D,0.35000 D,1.46000 D,,2.40000 S,10.63000 S,
20,MH6092432/2016-17/33320039,8.20000 MAl ,0.19000 N   ,,0.63000 M ,,442.00000 M ,0.65000 VL,359.00000 H ,1.56000 D,0.43000 D,1.55000 D,,2.45000 S,10.36000 S,
